date,recommended_price,demand_index,elasticity,market_avg,alerts,pms_status
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-17,148.91,1.2,-1.64,151.25,,
2026-03-18,148.91,1.2,-1.64,151.25,"High price sensitivity, Price below market",success
